ids,parents,HS2,labels,values
1,Animal Products,101,Live animals,8114690
1,"Animal Products",102,"Meat and edible meat offal",114691465
1,"Animal Products",103,"Fish and crustaceans, molluscs and other aquatic invertebrates",91436471
1,"Animal Products",104,"Dairy products and other edible products of animal origin",159959655
1,"Animal Products",105,"Animal originated products; not elsewhere specified or included",9085057
2,"Vegetable Products",206,"Trees and other live plants",142811418
2,"Vegetable Products",207,"Vegetables and certain roots and tubers; edible",156464936
2,"Vegetable Products",208,"Fruit and nuts, edible; peel of citrus fruit or melons",2484921618
2,"Vegetable Products",209,"Coffee, tea, mate and spices",318513549
2,"Vegetable Products",210,"Cereals",4033756
2,"Vegetable Products",211,"Products of the milling industry; malt, starches, inulin, wheat gluten",9363201
2,"Vegetable Products",212,"Oil seeds and oleaginous fruits",18768746
2,"Vegetable Products",213,"Lac; gums, resins and other vegetable saps and extracts",2945855
2,"Vegetable Products",214,"Vegetable plaiting materials",535997
3,"Animal and Vegetable Bi-Products",315,"Animal or vegetable fats and oils and their cleavage products",151569800
4,"Foodstuffs",416,"Meat, fish or crustaceans, molluscs or other aquatic invertebrates",49913862
4,"Foodstuffs",417,"Sugars and sugar confectionery",95782652
4,"Foodstuffs",418,"Cocoa and cocoa preparations",11411184
4,"Foodstuffs",419,"Preparations of cereals, flour, starch or milk; pastrycooks' products",131430002
4,"Foodstuffs",420,"Preparations of vegetables, fruit, nuts or other parts of plants",372566399
4,"Foodstuffs",421,"Miscellaneous edible preparations",590301870
4,"Foodstuffs",422,"Beverages, spirits and vinegar",84692510
4,"Foodstuffs",423,"Food industries, residues and wastes thereof; prepared animal fodder",50094466
4,"Foodstuffs",424,"Tobacco and manufactured tobacco substitutes",5106397
5,"Mineral Products",525,"Salt; sulphur; earths, stone; plastering materials, lime and cement",31426056
5,"Mineral Products",526,"Ores, slag and ash",3663660
5,"Mineral Products",527,"Mineral fuels, mineral oils and products of their distillation",9985004
6,"Chemical Products",628,"Inorganic chemicals; organic and inorganic compounds of precious metals; of rare earth metals, of radio-active elements and of isotopes",16807852
6,"Chemical Products",629,"Organic chemicals",9222373
6,"Chemical Products",630,"Pharmaceutical products",326782925
6,"Chemical Products",631,"Fertilizers",35102757
6,"Chemical Products",632,"Tanning or dyeing extracts; tannins and their derivatives; dyes, pigments and other colouring matter; paints, varnishes; putty, other mastics; inks",96952825
